UserID,No_of_days_Visited_7_Days,Pageloads_last_7_days,Clicks_last_7_days,No_Of_Products_Viewed_15_Days,Most_Viewed_product_15_Days,User_Vintage,Most_Active_OS,Recently_Viewed_Product
U100002,null,null,null,3,PR100258,52,,PR100258
U100003,1,1,2,3,PR100079,1020,,PR100079
U100004,2,4,null,16,PR101505,340,,PR100069
U100005,1,1,null,3,PR100234,680,,PR100234
U100006,1,1,null,1,PR101111,54,,PR101111
U100007,null,null,null,1,PR100265,459,,PR100265
U100008,6,21,23,21,PR100184,394,,PR100962
U100009,5,5,4,11,PR100167,77,,PR100640
U100012,2,6,14,8,PR100055,123,,PR100055
U100013,3,5,3,5,PR100177,1686,,PR100134
U100014,2,1,2,8,PR100126,154,,PR100126
U100015,1,3,8,7,PR100044,658,,PR100095
U100016,1,1,null,1,PR100172,113,,PR100172
U100017,1,null,null,1,Product101,44,,Product101
U100018,6,10,21,6,PR100403,43,,PR100403
U100019,3,5,15,8,PR100040,316,,PR100040
U100020,null,null,null,3,PR100017,162,,PR100017
U100023,6,7,null,5,PR100181,436,,PR100181
U100024,1,2,1,2,PR100025,84,,PR100025
U100025,null,null,null,null,Product101,128,,PR100240
U100026,3,1,2,4,PR100153,67,,PR100153
U100027,7,16,38,57,PR102905,2256,,PR100722
U100028,1,null,null,1,Product101,125,,PR100185
U100029,1,1,1,2,PR100301,573,,PR100301
U100030,3,2,4,8,PR100316,103,,PR100316
U100031,4,8,61,16,PR100097,413,,PR100097
U100032,4,8,208,14,PR100662,104,,PR100268
U100033,null,null,null,null,Product101,83,,PR100172
U100034,6,117,50,141,PR100633,452,,PR100812
U100035,null,null,null,null,Product101,72,,PR100633
U100036,2,3,11,6,PR100123,110,,PR100123
U100038,2,11,11,16,PR100072,133,,PR101800
U100039,null,null,null,2,PR100047,2256,,PR100047
U100040,3,5,3,6,PR100513,334,,PR100513
U100042,null,null,null,null,Product101,null,,Product101
U100043,4,14,28,15,PR100017,445,,PR100017
U100044,1,null,1,1,Product101,74,,Product101
U100045,3,3,null,4,PR100642,347,,PR100642
U100047,null,null,null,1,Product101,319,,Product101
U100048,null,null,null,1,Product101,80,,PR100080
U100049,1,1,1,2,PR100025,221,,PR100025
U100050,6,28,26,9,PR100190,63,,PR100178
U100051,3,6,null,6,PR100316,2256,,PR100316
U100052,null,null,null,3,PR100069,96,,PR100069
U100053,null,null,null,null,Product101,48,,PR100268
U100054,null,null,null,3,PR101320,1471,,PR101320
U100056,2,null,null,1,Product101,92,,PR100272
U100057,1,1,null,1,PR100184,49,,PR100184
U100058,6,12,1,5,PR100166,888,,PR100166
U100059,1,null,null,1,Product101,498,,Product101
U100061,3,3,null,4,PR100025,56,,PR100025
U100062,null,null,null,null,Product101,64,,Product101
U100063,2,1,null,7,PR100258,1065,,PR100025
U100065,2,3,3,7,PR100015,654,,PR100047
